"","X.1","longitude","latitude","formatted","X","origintime","magnitude","depth","magnitudetype","Region"
"49",49,166.9222717,-45.35684586,"Fiordland Community, Southland District, New Zealand",75982,"2017-05-01T00:11:10.993Z",4.386877882,15.42371082,"M","Southern"
"50",50,166.9231567,-45.33407593,"First Arm, Southland, New Zealand",97239,"2019-03-29T23:54:36.410Z",3.853943719,12,"M","Southern"
"51",51,166.9385376,-45.74195862,"Fiordland Community, Southland District, New Zealand",18215,"2015-09-23T14:33:35.703Z",3.650803481,63.23738098,"M","Southern"
"52",52,166.9396057,-45.84605408,"Fiordland Community, Southland District, New Zealand",14821,"2015-11-28T23:56:13.726Z",4.159492223,57.4936676,"M","Southern"
"53",53,166.9526062,-45.45283508,"Fiordland Community, Southland District, New Zealand",262,"2016-08-27T20:17:22.538Z",3.818927736,45.58169174,"M","Southern"
"54",54,166.9538727,-45.81013107,"Fiordland Community, Southland District, New Zealand",103808,"2018-12-06T10:58:47.785Z",3.509370078,96.50899506,"M","Southern"
"55",55,166.9558792,-45.34089527,"Fiordland Community, Southland District, New Zealand",18698,"2015-09-12T21:07:07.348Z",4.008413141,30.3125,"M","Southern"
"56",56,166.9615784,-46.00212097,"Tuatapere Te Waewae Community 9620, New Zealand",124387,"2019-10-19T03:34:29.667Z",4.419970982,83.90076447,"M","Southern"
"57",57,166.9666748,-45.17280579,"Southland, New Zealand",87247,"2019-08-28T11:01:39.075Z",3.59293387,4.942323208,"M","Southern"
"58",58,166.9782104,-45.21574783,"Fiordland Community, Southland District, New Zealand",4462,"2016-05-29T03:02:49.986Z",4.561511131,14.39321518,"M","Southern"
"59",59,167.0134888,-45.57028961,"Fiordland Community, Southland District, New Zealand",49940,"2018-06-29T19:03:28.356Z",3.852789857,68.15342712,"M","Southern"
"60",60,167.0408478,-45.57749939,"Fiordland Community, Southland District, New Zealand",5452,"2016-05-08T14:55:25.525Z",3.930364611,67.15664673,"M","Southern"
"61",61,167.0441437,-45.42631531,"Fiordland Community, Southland District, New Zealand",131443,"2021-05-09T20:32:13.880Z",4.361861996,40.99501038,"M","Southern"
"62",62,167.0441437,-45.42631531,"Fiordland Community, Southland District, New Zealand",152482,"2021-05-09T20:32:13.880Z",4.361861996,40.99501038,"M","Southern"
"63",63,167.0489044,-45.59632111,"Fiordland Community, Southland District, New Zealand",123970,"2019-10-28T14:47:01.248Z",4.514049591,57.17320251,"M","Southern"
"64",64,167.0518341,-45.41834259,"Fiordland Community, Southland District, New Zealand",164121,"2020-12-07T14:22:57.825Z",3.521167319,43.99650574,"M","Southern"
"65",65,167.0518341,-45.41834259,"Fiordland Community, Southland District, New Zealand",143082,"2020-12-07T14:22:57.825Z",3.521167319,43.99650574,"M","Southern"
"66",66,167.0746918,-45.39081192,"Fiordland Community, Southland District, New Zealand",15042,"2015-11-23T14:41:20.604Z",4.046142134,58.0462265,"M","Southern"
"67",67,167.0826416,-45.26692963,"Fiordland Community, Southland District, New Zealand",118723,"2020-02-09T18:12:21.505Z",3.66532584,26.08583641,"M","Southern"
"68",68,167.0827789,-45.16748428,"Fiordland Community, Southland District, New Zealand",150516,"2021-06-13T15:49:26.921Z",3.68176468,12,"MLv","Southern"
"69",69,167.0827789,-45.16748428,"Fiordland Community, Southland District, New Zealand",129477,"2021-06-13T15:49:26.921Z",3.68176468,12,"MLv","Southern"
"70",70,167.083786,-45.19263458,"Fiordland Community, Southland District, New Zealand",81169,"2017-03-11T21:54:07.848Z",4.680163756,17.72013092,"M","Southern"
"71",71,167.1230316,-46.05149078,"Tuatapere Te Waewae Community 9620, New Zealand",44154,"2018-10-20T17:47:17.806Z",3.973880197,12,"M","Southern"
"72",72,167.1390381,-44.76155472,"Southland, New Zealand",20706,"2015-08-06T02:20:50.703Z",3.801192036,12,"M","Southern"
"73",73,167.1637268,-45.49256134,"Fiordland Community, Southland District, New Zealand",120653,"2020-01-05T20:58:07.877Z",4.57245347,48.31069565,"M","Southern"
"74",74,167.19104,-45.37639236,"Fiordland Community, Southland District, New Zealand",96682,"2019-04-06T12:42:50.042Z",5.211648282,64.47910309,"M","Southern"
"75",75,167.1927338,-45.41144943,"Fiordland Community, Southland District, New Zealand",146581,"2021-09-02T00:47:42.869Z",3.644824022,85.00564575,"MLv","Southern"
"76",76,167.1927338,-45.41144943,"Fiordland Community, Southland District, New Zealand",125542,"2021-09-02T00:47:42.869Z",3.644824022,85.00564575,"MLv","Southern"
"77",77,167.1976013,-45.24276733,"Fiordland Community, Southland District, New Zealand",1092,"2016-08-12T15:04:10.879Z",3.735122314,31.38695335,"M","Southern"
"78",78,167.2004395,-45.1900177,"Fiordland Community, Southland District, New Zealand",15480,"2015-11-14T09:57:53.209Z",3.809928455,39.39945221,"M","Southern"
"79",79,167.2171478,-45.32592392,"Fiordland Community, Southland District, New Zealand",101541,"2019-01-17T22:32:28.479Z",3.557711554,63.61310196,"M","Southern"
"80",80,167.2272797,-45.14884949,"Fiordland Community, Southland District, New Zealand",92862,"2019-06-01T20:09:02.687Z",3.771169733,12,"M","Southern"
"81",81,167.2527924,-45.11168671,"Fiordland Community, Southland District, New Zealand",2258,"2016-07-13T11:05:23.794Z",3.828904338,27.26505852,"M","Southern"
"82",82,167.2555389,-45.59353256,"Fiordland Community, Southland District, New Zealand",57108,"2018-02-16T06:32:23.247Z",4.557040085,5,"M","Southern"
"83",83,167.2641449,-45.39792633,"Fiordland Community, Southland District, New Zealand",89506,"2019-07-16T13:17:37.602Z",4.219065797,63.21192169,"M","Southern"
"84",84,167.2784576,-45.11992645,"Fiordland Community, Southland District, New Zealand",49484,"2018-07-07T06:06:22.278Z",3.628906157,63.05063248,"M","Southern"
"85",85,167.2786102,-44.84777832,"Southland, New Zealand",154289,"2021-04-12T04:42:49.237Z",3.672824301,5,"M","Southern"
"86",86,167.2786102,-44.84777832,"Southland, New Zealand",133250,"2021-04-12T04:42:49.237Z",3.672824301,5,"M","Southern"
"87",87,167.2861023,-45.11486053,"Fiordland Community, Southland District, New Zealand",910,"2016-08-16T12:39:18.259Z",3.700527649,12,"M","Southern"
"88",88,167.293869,-45.41438675,"Fiordland Community, Southland District, New Zealand",11873,"2016-01-25T13:22:35.645Z",3.614736511,95.25010681,"M","Southern"
"89",89,167.295929,-45.35334396,"Fiordland Community, Southland District, New Zealand",56041,"2018-03-06T18:10:53.022Z",3.685167764,68.84951782,"M","Southern"
"90",90,167.2966461,-44.85230255,"Southland, New Zealand",154014,"2021-04-16T22:57:07.353Z",4.934169474,6.393429279,"M","Southern"
"91",91,167.2966461,-44.85230255,"Southland, New Zealand",132975,"2021-04-16T22:57:07.353Z",4.934169474,6.393429279,"M","Southern"
"92",92,167.3004761,-45.17105484,"Fiordland Community, Southland District, New Zealand",25975,"2016-12-19T02:38:25.660Z",4.766784592,55.54155731,"M","Southern"
"93",93,167.3071442,-45.21774673,"Fiordland Community, Southland District, New Zealand",55236,"2018-03-20T11:48:37.423Z",3.682494638,32.54440308,"M","Southern"
"94",94,167.3186188,-45.25828171,"Fiordland Community, Southland District, New Zealand",57895,"2018-02-02T01:55:50.346Z",3.772875277,81.65164948,"M","Southern"
"95",95,167.3236237,-45.14730453,"Fiordland Community, Southland District, New Zealand",14813,"2015-11-29T05:03:36.311Z",3.863585074,38.90934753,"M","Southern"
"96",96,167.3275146,-45.19814682,"Fiordland Community, Southland District, New Zealand",71886,"2017-06-17T20:17:15.232Z",4.158914428,89.16906738,"M","Southern"
"97",97,167.3327637,-45.21353149,"Fiordland Community, Southland District, New Zealand",118824,"2020-02-08T01:58:00.616Z",3.56259997,62.61862946,"M","Southern"
"98",98,167.345047,-45.32110214,"1009m, Fiordland National Park, Southland District, New Zealand",113495,"2020-05-15T01:25:53.661Z",4.163437834,53.23958206,"M","Southern"
"99",99,167.3456573,-45.13685989,"Fiordland Community, Southland District, New Zealand",51823,"2018-05-27T01:13:12.895Z",4.58867646,69.78260803,"M","Southern"
"100",100,167.3491669,-45.11802673,"Fiordland Community, Southland District, New Zealand",76730,"2017-04-21T10:36:18.885Z",3.543214727,12,"M","Southern"
"101",101,167.3563843,-45.12214661,"Fiordland Community, Southland District, New Zealand",157055,"2021-03-13T23:12:45.568Z",3.654309718,71.02729797,"MLv","Southern"
"102",102,167.3563843,-45.12214661,"Fiordland Community, Southland District, New Zealand",136016,"2021-03-13T23:12:45.568Z",3.654309718,71.02729797,"MLv","Southern"
"103",103,167.3615875,-45.27131271,"Fiordland Community, Southland District, New Zealand",56425,"2018-02-28T05:17:29.418Z",3.53017316,12,"M","Southern"
"104",104,167.365097,-45.24110031,"Fiordland Community, Southland District, New Zealand",6128,"2016-04-27T07:58:37.063Z",3.719786067,61.620121,"M","Southern"
"105",105,167.3704681,-45.32514954,"1471m, Fiordland National Park, Southland District, New Zealand",40926,"2016-09-23T20:29:13.125Z",4.011025996,105.8065796,"M","Southern"
"106",106,167.3709412,-45.08162689,"Fiordland Community, Southland District, New Zealand",161030,"2021-02-01T13:38:09.337Z",3.521998204,72.00234985,"M","Southern"
"107",107,167.3709412,-45.08162689,"Fiordland Community, Southland District, New Zealand",139991,"2021-02-01T13:38:09.337Z",3.521998204,72.00234985,"M","Southern"
"108",108,167.37146,-45.21815109,"Fiordland Community, Southland District, New Zealand",84801,"2017-02-07T16:27:11.126Z",3.619665352,64.1008606,"M","Southern"
"109",109,167.3715668,-45.17498398,"Fiordland Community, Southland District, New Zealand",40196,"2016-10-05T06:57:27.746Z",4.683551473,102.5928497,"M","Southern"
"110",110,167.3826253,-45.22217241,"Fiordland Community, Southland District, New Zealand",71546,"2017-06-22T10:54:57.162Z",4.365206733,51.875,"M","Southern"
"111",111,167.3832092,-45.08067703,"Fiordland Community, Southland District, New Zealand",69180,"2017-07-28T13:09:14.850Z",3.677110038,64.62477112,"M","Southern"
"112",112,167.3882904,-45.01195526,"Lake Welcome, Fiordland Community, New Zealand",97039,"2019-04-02T08:09:46.664Z",3.513363237,78.48252869,"M","Southern"
"113",113,167.3899231,-45.20512772,"Fiordland Community, Southland District, New Zealand",42202,"2016-09-08T04:12:32.622Z",4.016943204,86.04173279,"M","Southern"
"114",114,167.3970947,-45.16620636,"Fiordland Community, Southland District, New Zealand",44961,"2018-10-05T01:35:20.156Z",4.142140496,43.71031189,"M","Southern"
"115",115,167.3974609,-45.06458282,"Fiordland Community, Southland District, New Zealand",96118,"2019-04-15T18:47:15.989Z",3.590254495,5,"M","Southern"
"116",116,167.3983917,-45.11516571,"Fiordland Community, Southland District, New Zealand",77516,"2017-04-12T01:30:21.885Z",3.555184073,32.49235535,"M","Southern"
"117",117,167.4004211,-45.16888046,"Fiordland Community, Southland District, New Zealand",4359,"2016-05-31T01:50:11.850Z",4.622591408,104.5202332,"M","Southern"
"118",118,167.4006195,-45.16191101,"Fiordland Community, Southland District, New Zealand",54834,"2018-03-27T20:30:05.648Z",3.759881029,68.46735382,"M","Southern"
"119",119,167.4029083,-45.08398819,"Fiordland Community, Southland District, New Zealand",116709,"2020-03-16T12:08:10.620Z",3.887030143,95.35316467,"M","Southern"
"120",120,167.4069519,-44.91084671,"Fiordland Community, Southland District, New Zealand",35146,"2016-11-17T02:20:45.649Z",4.548906332,102.4082565,"M","Southern"
"121",121,167.4165955,-45.15254211,"Fiordland Community, Southland District, New Zealand",123274,"2019-11-12T04:18:49.845Z",4.066752446,51.57278442,"M","Southern"
"122",122,167.4173889,-45.07970047,"Fiordland Community, Southland District, New Zealand",102313,"2019-01-02T02:14:27.435Z",3.948213313,105.1336899,"M","Southern"
"123",123,167.4182739,-45.00475311,"Fiordland Community, Southland District, New Zealand",108062,"2020-08-11T16:41:23.470Z",4.028381799,79.97254181,"M","Southern"
"124",124,167.4190521,-45.01991272,"Fiordland Community, Southland District, New Zealand",121558,"2019-12-17T16:14:23.605Z",4.382905928,97.9566803,"M","Southern"
"125",125,167.4204712,-45.10821915,"Fiordland Community, Southland District, New Zealand",61375,"2017-12-08T02:20:45.596Z",3.726240348,65.61153412,"M","Southern"
"126",126,167.425354,-44.62796783,"Southland, New Zealand",110554,"2020-06-25T08:10:37.633Z",3.975696845,5,"M","Southern"
"127",127,167.4274597,-45.00188446,"Fiordland Community, Southland District, New Zealand",105597,"2020-09-27T09:36:14.045Z",3.736490889,72.50254059,"M","Southern"
"128",128,167.4351044,-45.07529068,"Fiordland Community, Southland District, New Zealand",105774,"2020-09-22T08:51:14.287Z",4.835343931,66.79412842,"M","Southern"
"129",129,167.4389801,-45.07937241,"Fiordland Community, Southland District, New Zealand",66773,"2017-09-07T21:44:15.884Z",3.95591114,33.73135757,"M","Southern"
"130",130,167.4391632,-44.6741333,"Southland, New Zealand",124182,"2019-10-24T08:53:37.454Z",5.62728772,5,"M","Southern"
"131",131,167.44487,-45.10223389,"Fiordland Community, Southland District, New Zealand",53483,"2018-04-24T03:15:38.164Z",3.869043208,41.21381378,"M","Southern"
"132",132,167.4457397,-45.00009155,"Fiordland Community, Southland District, New Zealand",17591,"2015-10-07T10:10:02.113Z",3.681031366,118.2429123,"M","Southern"
"133",133,167.4463806,-44.71028137,"Southland, New Zealand",117883,"2020-02-24T10:14:22.764Z",5.152573398,5,"M","Southern"
"134",134,167.4464874,-44.85125732,"Fiordland Community, Southland District, New Zealand",154644,"2021-04-07T15:07:34.573Z",4.086293855,12,"M","Southern"
"135",135,167.4464874,-44.85125732,"Fiordland Community, Southland District, New Zealand",133605,"2021-04-07T15:07:34.573Z",4.086293855,12,"M","Southern"
"136",136,167.458313,-44.96377563,"Fiordland Community, Southland District, New Zealand",85855,"2019-09-21T06:14:15.068Z",3.586392189,74.54063416,"M","Southern"
"137",137,167.4589844,-45.06557083,"Fiordland Community, Southland District, New Zealand",2152,"2016-07-17T01:28:02.520Z",3.614626261,103.5766525,"M","Southern"
"138",138,167.4607849,-45.12020874,"Fiordland Community, Southland District, New Zealand",51754,"2018-05-28T22:36:54.681Z",4.132270687,50.87059402,"M","Southern"
"139",139,167.4619751,-45.05291748,"Fiordland Community, Southland District, New Zealand",72488,"2017-06-08T17:06:58.851Z",4.117247703,71.24195099,"M","Southern"
"140",140,167.4620514,-44.69419479,"Southland, New Zealand",140975,"2021-01-13T17:37:27.514Z",4.59090006,5,"MLv","Southern"
"141",141,167.4620514,-44.69419479,"Southland, New Zealand",162014,"2021-01-13T17:37:27.514Z",4.59090006,5,"MLv","Southern"
"142",142,167.475769,-44.98200607,"Fiordland Community, Southland District, New Zealand",61006,"2017-12-14T12:08:46.433Z",3.592379447,105.3795395,"M","Southern"
"143",143,167.4769897,-45.05381775,"Fiordland Community, Southland District, New Zealand",19700,"2015-08-25T03:17:19.265Z",3.993170677,102.3945618,"M","Southern"
"144",144,167.4781647,-44.65691757,"Southland, New Zealand",155295,"2021-03-30T05:33:28.543Z",3.865167114,5,"M","Southern"
"145",145,167.4781647,-44.65691757,"Southland, New Zealand",134256,"2021-03-30T05:33:28.543Z",3.865167114,5,"M","Southern"
"146",146,167.4784393,-45.06002808,"Fiordland Community, Southland District, New Zealand",108030,"2020-08-12T08:37:11.714Z",3.586850001,71.55484772,"M","Southern"
"147",147,167.4815063,-44.61588669,"Southland, New Zealand",110611,"2020-06-24T22:20:01.695Z",5.888094491,5,"mB","Southern"
"148",148,167.4819489,-44.68238831,"Southland, New Zealand",124181,"2019-10-24T09:00:57.859Z",4.030422233,5,"M","Southern"
"149",149,167.482132,-45.07312775,"Fiordland Community, Southland District, New Zealand",99507,"2019-02-22T23:34:01.305Z",3.899072918,113.6193085,"M","Southern"
"150",150,167.4873962,-45.06083679,"Fiordland Community, Southland District, New Zealand",114981,"2020-04-18T07:51:07.211Z",4.771085152,58.36637497,"M","Southern"
"151",151,167.4886475,-45.11272812,"Fiordland Community, Southland District, New Zealand",148970,"2021-07-15T07:31:51.016Z",3.662136501,33,"MLv","Southern"
"152",152,167.4886475,-45.11272812,"Fiordland Community, Southland District, New Zealand",127931,"2021-07-15T07:31:51.016Z",3.662136501,33,"MLv","Southern"
"153",153,167.4911041,-45.08953476,"Fiordland Community, Southland District, New Zealand",45730,"2018-09-19T05:47:40.157Z",4.461039686,43.51545334,"M","Southern"
"154",154,167.4939298,-45.19848593,"Fiordland Community, Southland District, New Zealand",16283,"2015-10-30T19:19:48.295Z",3.593471177,108.125,"M","Southern"
"155",155,167.4944153,-44.62689972,"Southland, New Zealand",108025,"2020-08-12T10:16:45.141Z",5.424126782,5,"MLv","Southern"
"156",156,167.4945374,-44.95353699,"Fiordland Community, Southland District, New Zealand",109139,"2020-07-23T17:16:18.004Z",3.650470561,85.51322174,"M","Southern"
"157",157,167.4980621,-44.96448135,"Fiordland Community, Southland District, New Zealand",6972,"2016-04-13T19:54:40.786Z",4.067298657,72.49223328,"M","Southern"
"158",158,167.5035706,-45.08442688,"Fiordland Community, Southland District, New Zealand",157069,"2021-03-13T21:04:05.068Z",4.271503902,71.00640869,"MLv","Southern"
"159",159,167.5035706,-45.08442688,"Fiordland Community, Southland District, New Zealand",136030,"2021-03-13T21:04:05.068Z",4.271503902,71.00640869,"MLv","Southern"
"160",160,167.5055542,-44.68006897,"Southland, New Zealand",110563,"2020-06-25T04:30:29.998Z",4.21133726,5,"M","Southern"
"161",161,167.5062256,-45.05091858,"Fiordland Community, Southland District, New Zealand",124247,"2019-10-22T09:37:23.167Z",3.982394808,78.51326752,"M","Southern"
"162",162,167.5105133,-44.8978653,"Fiordland Community, Southland District, New Zealand",74596,"2017-05-22T04:20:47.985Z",3.632151841,5,"M","Southern"
"163",163,167.513382,-45.0947876,"Lake McIvor, Fiordland Community, Southland District, New Zealand",49847,"2018-07-01T12:30:42.080Z",3.612899153,80.81916046,"M","Southern"
"164",164,167.5172424,-44.91044617,"Fiordland Community, Southland District, New Zealand",8762,"2016-03-14T12:09:06.719Z",4.734903078,112.6756973,"M","Southern"
"165",165,167.5186462,-45.1109314,"Fiordland Community, Southland District, New Zealand",41476,"2016-09-17T10:42:03.297Z",4.287717216,111.2826385,"M","Southern"
"166",166,167.5206146,-44.9356308,"Fiordland Community, Southland District, New Zealand",119586,"2020-01-24T19:04:37.764Z",3.617995046,92.26963043,"M","Southern"
"167",167,167.5228882,-44.66983414,"Southland, New Zealand",110459,"2020-06-26T18:56:28.174Z",3.900009381,0.483428478,"M","Southern"
"168",168,167.5230713,-44.67448425,"Southland, New Zealand",134257,"2021-03-30T05:16:06.794Z",4.358421078,5,"M","Southern"
"169",169,167.5230713,-44.67448425,"Southland, New Zealand",155296,"2021-03-30T05:16:06.794Z",4.358421078,5,"M","Southern"
"170",170,167.5254059,-44.64374542,"Southland, New Zealand",110250,"2020-06-30T21:17:16.938Z",4.238555511,5,"M","Southern"
"171",171,167.5278931,-44.67721558,"Southland, New Zealand",110475,"2020-06-26T11:36:41.567Z",3.932291477,5,"M","Southern"
"172",172,167.5285675,-45.16764884,"Fiordland Community, Southland District, New Zealand",42006,"2016-09-10T20:47:15.064Z",4.111865048,79.53125,"M","Southern"
"173",173,167.536087,-44.99587631,"Fiordland Community, Southland District, New Zealand",114449,"2020-04-26T22:52:11.813Z",5.228785222,71.31930542,"M","Southern"
"174",174,167.539917,-44.64377213,"Southland, New Zealand",108010,"2020-08-12T13:41:14.139Z",4.072642375,5,"M","Southern"
"175",175,167.5465393,-44.67114639,"Southland, New Zealand",110587,"2020-06-24T23:54:19.715Z",3.657645044,5,"M","Southern"
"176",176,167.5503235,-44.63675308,"Southland, New Zealand",108012,"2020-08-12T13:21:47.062Z",3.550519181,5,"M","Southern"
"177",177,167.5540924,-44.98662186,"Fiordland Community, Southland District, New Zealand",113235,"2020-05-19T22:40:49.480Z",4.19048617,66.53932953,"M","Southern"
"178",178,167.5608368,-44.93818665,"Fiordland Community, Southland District, New Zealand",88334,"2019-08-08T01:16:29.979Z",3.666641925,53.74566269,"M","Southern"
"179",179,167.5610962,-45.64109421,"Fiordland Community, Southland District, New Zealand",52833,"2018-05-05T01:33:05.023Z",3.962212929,5,"M","Southern"
"180",180,167.5691528,-44.90253448,"Fiordland Community, Southland District, New Zealand",109442,"2020-07-16T16:28:50.306Z",3.57244506,56.72682571,"M","Southern"
"181",181,167.56987,-44.70328522,"Fiordland Community, Southland District, New Zealand",110017,"2020-07-05T15:06:15.334Z",3.631854856,5,"M","Southern"
"182",182,167.5717926,-45.0349617,"Fiordland Community, Southland District, New Zealand",4619,"2016-05-25T14:40:21.430Z",3.762461058,70.44848633,"M","Southern"
"183",183,167.5718536,-45.04822922,"Fiordland Community, Southland District, New Zealand",139076,"2021-02-18T01:19:59.133Z",3.724019602,36.56726837,"M","Southern"
"184",184,167.5718536,-45.04822922,"Fiordland Community, Southland District, New Zealand",160115,"2021-02-18T01:19:59.133Z",3.724019602,36.56726837,"M","Southern"
"185",185,167.5766754,-45.08521652,"Fiordland Community, Southland District, New Zealand",8000,"2016-03-27T20:22:39.706Z",4.351480216,72.2678833,"M","Southern"
